Forças (S);Fraquezas (W)
Integração crescente com áreas finalísticas no processo de desenvolvimento de software e portais;Pouca divulgação e aplicação incipiente da Política de Segurança da Informação e Comunicação (POSIC)
Metodologia de gestão de projetos instituída;Deficiência na comunicação dos serviços e resultados de TIC 
Plano de Dados abertos integrado do Sistema MinC;Inexistência de escritório de aquisições de TIC
Catálogo de Serviços orientado aos usuários;Ausência de um Plano de Continuidade de Negócios
Cargos de gestão ocupados por servidores carreira;Reduzido quadro de servidores efetivos
Infraestrutura de TI atualizada;Sistemas críticos de TI rodando nas áreas finalísticas sem o apoio da CGTEC e sem integração
Utilização das últimas tecnologias de mercado;Alguns processos internos da CGTEC não são geridos e nem monitorados
Apoio da SGE e da Alta Administração;Não existe processo de garantia e controle da qualidade dos produtos e processos
Inovação no desenvolvimento de software;Ameaças (T)
Parcerias com Universidades;Baixa periodicidade de reuniões do Comitê de Governança Digital
Oportunidades (O);Corte de orçamento
Ampliar a utilização de software livre;Alta rotatividade dos dirigentes do negócio
Prover plataforma como serviço para entes da Administração Pública;Alta rotatividade e evasão do corpo gestor
Promover a integração do Sistema MinC por meio da Comitê de TI formalmente instituído;Interferência da política externa que impacta nas decisões estratégicas e operacionais internas
Disponibilidade de diretrizes, normas, padrões e melhores práticas em Governança de TIC para órgãos públicos pela STI/MP;Percepção equivocada das atribuições da TI pelas áreas finalísticas
Cooperação com outros órgãos da administração pública no compartilhamento de boas práticas de TIC;Os processos de negócio do Ministério não são mapeados, geridos e nem monitorados
Todas as áreas finalísticas dependem dos serviços de TI para o alcance dos objetivos estratégicos;Não existe escritório de projetos efetivo para garantir a gestão dos projetos de acordo com o plano estratégico do Ministério
Lacunas a serem trabalhadas com relação à impessoalidade na prestação de serviços;Não é realizada uma efetiva gestão da informação
Possibilidade de divulgação mais ampla dos serviços oferecidos pela TI;
Possibilidade de aprimorar canais de comunicação para envolvimento prévio da CGTEC nos projetos finalísticos ;
